"FullName","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@so-ric","9/6/2026 3:38:36 PM","9/6/2026 3:38:36 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@types","9/6/2026 3:38:36 PM","9/6/2026 3:43:11 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@ungap","9/6/2026 3:38:45 PM","9/6/2026 3:38:45 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\accepts","9/6/2026 3:38:46 PM","9/6/2026 3:38:46 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\acorn","9/6/2026 3:38:47 PM","9/6/2026 3:38:47 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\acorn-jsx","9/6/2026 3:38:48 PM","9/6/2026 3:38:49 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\agent-base","9/6/2026 3:38:49 PM","9/6/2026 3:38:50 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\ajv","9/6/2026 3:38:50 PM","9/6/2026 3:38:56 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\ansi-escapes","9/6/2026 3:38:56 PM","9/6/2026 3:38:56 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\ansi-regex","9/6/2026 3:38:57 PM","9/6/2026 3:38:57 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\ansi-styles","9/6/2026 3:38:57 PM","9/6/2026 3:38:58 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\anymatch","9/6/2026 3:38:58 PM","9/6/2026 3:38:58 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\argparse","9/6/2026 3:38:58 PM","9/6/2026 3:38:58 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\array-flatten","9/6/2026 3:38:58 PM","9/6/2026 3:38:58 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\asap","9/6/2026 3:38:58 PM","9/6/2026 3:38:59 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\async","9/6/2026 3:38:59 PM","9/6/2026 3:39:08 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\asynckit","9/6/2026 3:39:10 PM","9/6/2026 3:39:11 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\axios","9/6/2026 3:39:12 PM","9/6/2026 3:39:13 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\babel-jest","9/6/2026 3:39:19 PM","9/6/2026 3:39:19 PM","20/6/2026 10:33:18 PM"
